
          ---- Aqueous concentrations vs. grid blocks at specified times ----

   Unit: 
    - Aqueous species: Total concencentrations in mol/L     
    - Component in dry nodes in mol/L medium

VARIABLES =X,        Y,       Z,  P(bar)  ,      Sg,       Sl  ,     T(C)  ,  aH2O,    pH     ,t_tracer   ,
ZONE T= "0.100000E+00 d"  F=POINT
    -71.910     59.610     0.000  0.3006E+03  0.0000E+00  0.1000E+01  80.877  1.0000  5.6452  0.1288E-04
    -69.180   -162.200     0.000  0.3006E+03  0.0000E+00  0.1000E+01 129.857  1.0000  5.6452  0.3395E-02
    -69.160   -200.000     0.000  0.3005E+03  0.0000E+00  0.1000E+01 159.473  1.0000  5.6452  0.2650E-02
    -69.160   -182.500     0.000  0.3005E+03  0.0000E+00  0.1000E+01 150.989  1.0000  5.6452  0.2958E-02
    -67.500   -143.400     0.000  0.3006E+03  0.0000E+00  0.1000E+01 112.260  1.0000  5.6452  0.2899E-02
    -67.150    -17.220     0.000  0.3007E+03  0.0000E+00  0.1000E+01  80.849  1.0000  5.6452  0.3295E-08
    -67.110    -83.950     0.000  0.3006E+03  0.0000E+00  0.1000E+01  81.738  1.0000  5.6452  0.2965E-03
    -64.870    200.000     0.000  0.3005E+03  0.0000E+00  0.1000E+01 163.316  1.0000  5.6452  0.2552E-02
    -64.190     22.330     0.000  0.3007E+03  0.0000E+00  0.1000E+01  80.850  1.0000  5.6452  0.1349E-07
    -59.630    140.500     0.000  0.3005E+03  0.0000E+00  0.1000E+01 111.319  1.0000  5.6452  0.2829E-02
    -59.430   -127.200     0.000  0.3006E+03  0.0000E+00  0.1000E+01  99.673  1.0000  5.6452  0.2704E-02
    -59.400    109.000     0.000  0.3006E+03  0.0000E+00  0.1000E+01  87.084  1.0000  5.6452  0.1159E-02
    -57.830    -49.000     0.000  0.3006E+03  0.0000E+00  0.1000E+01  80.867  1.0000  5.6452  0.9107E-05
    -57.010    174.300     0.000  0.3005E+03  0.0000E+00  0.1000E+01 144.068  1.0000  5.6452  0.3090E-02
    -54.170     78.080     0.000  0.3006E+03  0.0000E+00  0.1000E+01  81.266  1.0000  5.6452  0.1429E-03
    -49.980   -109.300     0.000  0.3006E+03  0.0000E+00  0.1000E+01  84.146  1.0000  5.6452  0.8219E-03
    -45.400     42.910     0.000  0.3006E+03  0.0000E+00  0.1000E+01  80.862  1.0000  5.6452  0.6342E-05
    -44.240      7.513     0.000  0.3006E+03  0.0000E+00  0.1000E+01  80.851  1.0000  5.6452  0.1455E-06
    -40.970   -167.100     0.000  0.3005E+03  0.0000E+00  0.1000E+01 141.468  1.0000  5.6452  0.3272E-02
    -39.310    -21.080     0.000  0.3006E+03  0.0000E+00  0.1000E+01  80.854  1.0000  5.6452  0.2537E-05
    -37.500   -200.000     0.000  0.3005E+03  0.0000E+00  0.1000E+01 158.552  1.0000  5.6452  0.2753E-02
    -36.710    -70.070     0.000  0.3006E+03  0.0000E+00  0.1000E+01  81.548  1.0000  5.6452  0.2488E-03
    -34.440    159.800     0.000  0.3005E+03  0.0000E+00  0.1000E+01 133.485  1.0000  5.6452  0.3150E-02
    -31.850   -142.400     0.000  0.3005E+03  0.0000E+00  0.1000E+01 115.570  1.0000  5.6452  0.3174E-02
    -31.420     94.060     0.000  0.3005E+03  0.0000E+00  0.1000E+01  84.122  1.0000  5.6452  0.7332E-03
    -30.190    -46.340     0.000  0.3006E+03  0.0000E+00  0.1000E+01  80.885  1.0000  5.6452  0.2473E-04
    -29.330    -93.450     0.000  0.3005E+03  0.0000E+00  0.1000E+01  83.637  1.0000  5.6452  0.7608E-03
    -29.230     67.620     0.000  0.3005E+03  0.0000E+00  0.1000E+01  81.275  1.0000  5.6452  0.1669E-03
    -28.660    124.200     0.000  0.3005E+03  0.0000E+00  0.1000E+01  99.674  1.0000  5.6452  0.2220E-02
    -28.610    200.000     0.000  0.3005E+03  0.0000E+00  0.1000E+01 162.880  1.0000  5.6452  0.2543E-02
    -25.250    181.400     0.000  0.3005E+03  0.0000E+00  0.1000E+01 148.110  1.0000  5.6452  0.3024E-02
    -22.270     28.290     0.000  0.3005E+03  0.0000E+00  0.1000E+01  80.867  1.0000  5.6452  0.1114E-04
    -21.680   -200.000     0.000  0.3005E+03  0.0000E+00  0.1000E+01 162.010  1.0000  5.6452  0.2645E-02
    -21.680   -183.500     0.000  0.3005E+03  0.0000E+00  0.1000E+01 150.546  1.0000  5.6452  0.3098E-02
    -20.890    141.600     0.000  0.3005E+03  0.0000E+00  0.1000E+01 120.030  1.0000  5.6452  0.2936E-02
    -19.210     12.330     0.000  0.3005E+03  0.0000E+00  0.1000E+01  80.856  1.0000  5.6452  0.3702E-05
    -18.490     47.040     0.000  0.3005E+03  0.0000E+00  0.1000E+01  80.999  1.0000  5.6452  0.6764E-04
    -17.020   -117.700     0.000  0.3005E+03  0.0000E+00  0.1000E+01  94.206  1.0000  5.6452  0.1752E-02
    -15.250     -2.885     0.000  0.3005E+03  0.0000E+00  0.1000E+01  80.858  1.0000  5.6452  0.5320E-05
    -12.170    103.100     0.000  0.3005E+03  0.0000E+00  0.1000E+01  89.232  1.0000  5.6452  0.1348E-02
      0.000   -200.000     0.000  0.3005E+03  0.0000E+00  0.1000E+01 169.546  1.0000  5.6452  0.2191E-02
      0.000   -177.800     0.000  0.3005E+03  0.0000E+00  0.1000E+01 163.525  1.0000  5.6452  0.2553E-02
      0.000   -155.500     0.000  0.3005E+03  0.0000E+00  0.1000E+01 142.123  1.0000  5.6452  0.3120E-02
      0.000   -133.300     0.000  0.3005E+03  0.0000E+00  0.1000E+01 121.613  1.0000  5.6452  0.3028E-02
      0.000   -111.100     0.000  0.3005E+03  0.0000E+00  0.1000E+01 110.266  1.0000  5.6452  0.2713E-02
      0.000    -88.890     0.000  0.3005E+03  0.0000E+00  0.1000E+01  94.956  1.0000  5.6452  0.2039E-02
      0.000    -66.670     0.000  0.3005E+03  0.0000E+00  0.1000E+01  85.400  1.0000  5.6452  0.1017E-02
      0.000    -44.440     0.000  0.3005E+03  0.0000E+00  0.1000E+01  82.070  1.0000  5.6452  0.4612E-03
      0.000    -22.220     0.000  0.3005E+03  0.0000E+00  0.1000E+01  81.537  1.0000  5.6452  0.2857E-03
      0.000      0.000     0.000  0.3005E+03  0.0000E+00  0.1000E+01  81.154  1.0000  5.6452  0.1605E-03
      0.000     22.220     0.000  0.3005E+03  0.0000E+00  0.1000E+01  81.417  1.0000  5.6452  0.2500E-03
      0.000     44.440     0.000  0.3005E+03  0.0000E+00  0.1000E+01  82.353  1.0000  5.6452  0.5345E-03
      0.000     66.670     0.000  0.3005E+03  0.0000E+00  0.1000E+01  84.124  1.0000  5.6452  0.9359E-03
      0.000     88.890     0.000  0.3005E+03  0.0000E+00  0.1000E+01  95.500  1.0000  5.6452  0.2018E-02
      0.000    111.100     0.000  0.3005E+03  0.0000E+00  0.1000E+01 106.276  1.0000  5.6452  0.2592E-02
      0.000    133.300     0.000  0.3005E+03  0.0000E+00  0.1000E+01 134.530  1.0000  5.6452  0.3073E-02
      0.000    155.500     0.000  0.3005E+03  0.0000E+00  0.1000E+01 145.241  1.0000  5.6452  0.3015E-02
      0.000    177.800     0.000  0.3005E+03  0.0000E+00  0.1000E+01 160.361  1.0000  5.6452  0.2608E-02
      0.000    200.000     0.000  0.3005E+03  0.0000E+00  0.1000E+01 168.110  1.0000  5.6452  0.2204E-02
     14.010    -47.880     0.000  0.3005E+03  0.0000E+00  0.1000E+01 150.422  1.0000  5.6452  0.7316E-03
     15.110    180.700     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.856  1.0000  5.6452  0.1516E-04
     15.670    -27.180     0.000  0.3005E+03  0.0000E+00  0.1000E+01 139.461  1.0000  5.6452  0.7972E-03
     17.560   -180.700     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.875  1.0000  5.6452  0.7995E-05
     19.080     -1.771     0.000  0.3005E+03  0.0000E+00  0.1000E+01 138.384  1.0000  5.6452  0.7457E-03
     20.370     74.350     0.000  0.3005E+03  0.0000E+00  0.1000E+01 166.438  1.0000  5.6452  0.5971E-03
     21.860    165.600     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.851  1.0000  5.6452  0.1406E-04
     23.370   -155.800     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.824  1.0000  5.6452  0.2664E-04
     23.590    -69.980     0.000  0.3005E+03  0.0000E+00  0.1000E+01 174.976  1.0000  5.6452  0.3630E-03
     24.130    -92.560     0.000  0.3005E+03  0.0000E+00  0.1000E+01 189.250  1.0000  5.6452  0.1026E-03
     24.410    200.000     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.888  1.0000  5.6452  0.3089E-05
     26.270    113.300     0.000  0.3005E+03  0.0000E+00  0.1000E+01 190.097  1.0000  5.6452  0.1028E-03
