temperature versus space at t=300.0d
1.25,33.75443227838471,36.146528
13.75,70.67566591173596,73.464596
26.25,104.6320657384521,107.997999
38.75,133.57135971674307,136.844354
51.25,156.4257118898683,158.844881
63.75,173.15041042198982,174.423797
76.25,184.4913664018667,184.796105
88.75,191.61721312922302,191.340156
101.2,195.75374954817184,195.269981
113.8,198.01023654904444,197.521585
126.2,199.1196207882832,198.754026
138.8,199.64205375194453,199.398955
151.2,199.862485684275,199.721733
163.8,199.9516282034467,199.876263
176.2,199.98390343413163,199.947028
188.8,199.99511166928053,199.978017
