temperature versus space at t=300.0d
1.25,33.95197945188315,36.146528
13.75,72.74598504333144,73.464596
26.25,108.10560273504124,107.997999
38.75,137.72818866774435,136.844354
51.25,160.53706669839767,158.844881
63.75,176.6785453332638,174.423797
76.25,187.17720485404055,184.796105
88.75,193.452989793372,191.340156
101.2,196.89100065365523,195.269981
113.8,198.64619620117585,197.521585
126.2,199.4471408990508,198.754026
138.8,199.79447950102727,199.398955
151.2,199.928287369983,199.721733
163.8,199.97731156905522,199.876263
176.2,199.99325295632124,199.947028
188.8,199.9981872934905,199.978017
