time,pressure
0.0,30.05685699294,30.05685699294
0.1,30.058762,30.090628
1.0,30.063650999999997,30.120626999999995
10.0,30.067850232862984,30.12157689824835
60.0,30.072930216267316,30.121618823744562
100.0,30.074969,30.121636
200.0,30.078129467290026,30.121653159536272
300.0,30.08018009452803,30.121659089018433
400.0,30.081724452684256,30.12166305515479
600.0,30.084018220190696,30.121665064664008
800.0,30.085726443207026,30.12166606442103
1000.0,30.087094,30.121667000000002
1400.0,30.089219780357986,30.121666999999995
1800.0,30.090852381350725,30.121666999999995
2200.0,30.0921764844822,30.121666999999995
2600.0,30.093290475207244,30.121666999999995
3000.0,30.094249071574332,30.121666999999995
3500.0,30.095284827391403,30.121666999999995
4000.0,30.09618187508752,30.121666999999995
4500.0,30.096970937915305,30.121667000000002
5000.0,30.097674666321527,30.121667000000002
6000.0,30.098883666328117,30.121667000000002
7000.0,30.09989450754878,30.121667000000002
8000.0,30.10075712062293,30.121667000000002
9000.0,30.10150860558526,30.121667
10000.0,30.102172,30.121667
