time,temperature
0.0,196.5,196.5
10.0,191.38325691865379,80.94481163645086
30.0,186.16234548231924,80.9429496931808
40.0,184.0271072001879,80.91246743367795
50.0,182.13468528343398,80.90471781875367
60.0,180.4368413621504,80.90432030279663
70.0,178.89974383845643,80.899240041643
80.0,177.51062760030075,80.89353749184761
90.0,176.2368158376039,80.89005202699937
100.0,175.01213999999996,80.88702799999999
140.0,170.97775399042698,80.87795102046532
180.0,167.76717790860687,80.87224035227325
220.0,165.09147225202312,80.8682842579838
260.0,162.79852568410706,80.86543096074934
300.0,160.7918842673894,80.86331461146392
350.0,158.59055048151896,80.86136671777264
400.0,156.65348565814068,80.85996634234827
450.0,154.92370153012553,80.85893306007249
500.0,153.36081597265323,80.85815796092568
600.0,150.62497447788172,80.85711268457455
700.0,148.28406591126827,80.85647917942322
800.0,146.23852782391194,80.85608133581782
1000.0,142.79111999999998,80.85565
1200.0,139.95429177778738,80.85544930420886
1400.0,137.54881515418023,80.85534685671234
1800.0,133.62849567895213,80.8552536254402
2200.0,130.51712536905998,80.85521535336447
2600.0,127.95352574475748,80.85519428743845
3000.0,125.78527001470611,80.85518104866365
3500.0,123.48726205666141,80.85516992401553
4000.0,121.53395869151207,80.85516309252908
5000.0,118.36098014098802,80.85515397440702
6000.0,115.86583260549754,80.85514899987287
8000.0,112.1333130171698,80.85514401389935
10000.0,109.42397,80.855143
