-.2000E+03 -.2000E+03 0.0000E+00   0.300408E+08     193.500000
-.2000E+03 -.1636E+03 0.0000E+00   0.300410E+08     193.500000
-.2000E+03 -.1000E+03 0.0000E+00   0.300423E+08     193.500000
-.2000E+03 -.7431E+02 0.0000E+00   0.300430E+08     193.500000
-.2000E+03 -.5000E+02 0.0000E+00   0.300438E+08     193.500000
-.2000E+03 -.1729E+02 0.0000E+00   0.300445E+08     193.500000
-.2000E+03 0.2500E+02 0.0000E+00   0.300444E+08     193.500000
-.2000E+03 0.4485E+02 0.0000E+00   0.300439E+08     193.500000
-.2000E+03 0.7230E+02 0.0000E+00   0.300431E+08     193.500000
-.2000E+03 0.1000E+03 0.0000E+00   0.300423E+08     193.500000
-.2000E+03 0.1575E+03 0.0000E+00   0.300411E+08     193.500000
-.2000E+03 0.2000E+03 0.0000E+00   0.300408E+08     193.500000
-.1870E+03 -.1729E+02 0.0000E+00   0.300445E+08     193.500000
-.1865E+03 0.7230E+02 0.0000E+00   0.300431E+08     193.500000
-.1807E+03 -.7431E+02 0.0000E+00   0.300430E+08     193.500000
-.1782E+03 0.1575E+03 0.0000E+00   0.300410E+08     193.500000
-.1782E+03 0.1109E+02 0.0000E+00   0.300447E+08     193.500000
-.1778E+03 0.4485E+02 0.0000E+00   0.300440E+08     193.500000
-.1776E+03 -.1636E+03 0.0000E+00   0.300409E+08     193.500000
-.1760E+03 0.1079E+03 0.0000E+00   0.300420E+08     193.500000
-.1738E+03 -.4703E+02 0.0000E+00   0.300439E+08     193.500000
-.1683E+03 -.9989E+02 0.0000E+00   0.300422E+08     193.500000
-.1666E+03 -.1819E+02 0.0000E+00   0.300448E+08     193.500000
-.1654E+03 -.1338E+03 0.0000E+00   0.300413E+08     193.500000
-.1645E+03 0.7619E+02 0.0000E+00   0.300430E+08     193.500000
-.1610E+03 0.2980E+02 0.0000E+00   0.300446E+08     193.500000
-.1550E+03 0.1273E+03 0.0000E+00   0.300413E+08     193.500000
-.1545E+03 -.7452E+02 0.0000E+00   0.300430E+08     193.500000
-.1538E+03 0.7955E+01 0.0000E+00   0.300454E+08     193.500000
-.1527E+03 -.2000E+03 0.0000E+00   0.300405E+08     193.500000
-.1521E+03 0.5371E+02 0.0000E+00   0.300439E+08     193.500000
-.1499E+03 -.4386E+02 0.0000E+00   0.300443E+08     193.500000
-.1476E+03 -.1787E+02 0.0000E+00   0.300455E+08     193.500000
-.1475E+03 0.9755E+02 0.0000E+00   0.300421E+08     193.500000
-.1465E+03 0.2000E+03 0.0000E+00   0.300404E+08     193.500000
-.1407E+03 -.1700E+03 0.0000E+00   0.300404E+08     193.500000
