0.0,196.49806855303717
10.0,196.23483223822126
30.0,195.94346538868137
40.0,195.80875730088565
50.0,195.55564017879897
60.0,195.15791641694432
70.0,194.50276851070032
80.0,193.73211526223298
90.0,192.81003148495688
100.0,191.73995484906965
140.0,187.35308986401554
180.0,182.89761744285937
220.0,179.00378554446314
260.0,175.19997257542565
300.0,172.25687273697332
350.0,168.71226368562617
400.0,165.8568701141051
450.0,163.35485316464263
500.0,161.28413765935738
600.0,157.1544937913444
700.0,153.95811558983127
800.0,151.11148022304377
1000.0,147.05211653596228
1200.0,143.28693771872594
1400.0,139.9004803985954
1800.0,135.36242312813914
2200.0,131.3963515532094
2600.0,128.1057870089184
3000.0,125.82244288438727
3500.0,123.36672966063526
4000.0,121.26076837727783
5000.0,117.94133754147128
6000.0,115.59580941283576
8000.0,112.10200842698248
10000.0,109.54252353173649
