time,pressure
0.0,30.05747509168,30.05747509168
0.1,30.065130000000003,30.101109000000005
1.0,30.069673999999992,30.125977999999996
10.0,30.07348686988768,30.12647681732911
50.0,30.077409451610837,30.12647476054433
100.0,30.079875,30.126471999999996
200.0,30.08285568015223,30.126472000001968
300.0,30.084844392948682,30.126471999999996
400.0,30.08636213584426,30.126471999999996
600.0,30.08864727278956,30.126472000000003
800.0,30.09036456364956,30.126472000000003
1000.0,30.091746999999998,30.126472
1400.0,30.09390648269738,30.126471999999996
1800.0,30.09556995336865,30.126471999999996
2200.0,30.09692116481776,30.126471999999996
2600.0,30.098059233952984,30.126471999999996
3000.0,30.09903882908567,30.126471999999996
3500.0,30.10009752942899,30.126471999999996
4000.0,30.10101472153888,30.126471999999996
5000.0,30.102541508785823,30.126472
6000.0,30.103776606915687,30.126472
7000.0,30.104808403340513,30.126472
8000.0,30.105689014204913,30.126472
9000.0,30.10645568683763,30.126472
10000.0,30.107131,30.126472
