time,concentration
0.0,0.0,0.0
0.005,9.739290386065818e-06,3.4871836204630006e-06
0.01,0.0002105200241244875,7.979258694742641e-05
0.012,0.000490083783599582,0.00018945375267412386
0.014,0.0010020882301491896,0.00039535018194168116
0.016,0.0018128623588457942,0.0007332019033966292
0.018,0.002932571966248655,0.0012233808374698864
0.02,0.004297720149385756,0.0018640661219147096
0.021,0.005033346296072225,0.0022308924083967578
0.022,0.005777451996782412,0.0026230794298582496
0.023,0.006509565771499908,0.003033185321223979
0.024,0.007210826752866793,0.0034550241113466404
0.025,0.007863245415024723,0.0038795846345142503
0.026,0.00845036930010354,0.004301876988689894
0.027,0.00896195406623826,0.004714045673629513
0.028,0.009389469894986856,0.005111834790267217
0.029,0.009728576219220702,0.0054895753308689165
0.031,0.01014159356419711,0.006168501021847208
0.033,0.010217992833602633,0.0067279536922575526
0.035,0.010021841114482823,0.0071571185497689834
0.037,0.00961307317478297,0.007456105494399997
0.039,0.009069042924593955,0.007629583004820556
0.041,0.008447635184165045,0.007690811900848854
0.044,0.007477257212618892,0.007600821968062615
0.046,0.006852602751942921,0.0074428628895452775
0.048,0.006268805879868885,0.007224466061637145
0.05,0.0057350000000000005,0.006959999999999999
