time,temperature
0.0,193.5,193.5
10.0,201.5652492218878,80.85087529964596
30.0,197.59807122223,80.87171475671077
40.0,195.69450072199228,80.85387651495418
50.0,193.94202643298823,80.8537437924803
60.0,192.3180197623543,80.85864792223762
70.0,190.80515525952757,80.85866976222945
80.0,189.4051350863079,80.85739579609542
90.0,188.09979967867557,80.8574411586019
100.0,186.83729999999997,80.85764399999998
120.0,184.56517411436033,80.85764345988972
140.0,182.55469153240756,80.8576441447221
160.0,180.72510627134906,80.85764396122181
180.0,179.05227739365327,80.85764401039057
200.0,177.51257514373566,80.85764399721585
230.0,175.41230663764605,80.85764400135876
260.0,173.51983482520967,80.85764400005355
290.0,171.79797120418903,80.85764399997385
320.0,170.21859845029243,80.85764399999897
360.0,168.29746357576298,80.85764399999994
400.0,166.55205860092687,80.857644
450.0,164.5731945754063,80.857644
500.0,162.78027677709537,80.857644
600.0,159.63221380111708,80.85764400000004
700.0,156.93080201279616,80.85764400000004
800.0,154.56572587154866,80.85764400000004
900.0,152.46294207377596,80.85764400000004
1000.0,150.57057,80.85764399999998
1200.0,147.2776239449079,80.857644
1400.0,144.48319488804972,80.857644
1600.0,142.06031227312064,80.857644
1800.0,139.92612593606083,80.857644
2200.0,136.30881699837636,80.857644
2600.0,133.32929709678965,80.857644
3000.0,130.81093256733328,80.857644
3500.0,128.14357373620484,80.857644
4000.0,125.87899217503316,80.857644
5000.0,122.20814652937078,80.85764400000002
6000.0,119.33001966885305,80.85764400000002
7000.0,116.99129067536754,80.85764400000002
8000.0,115.04028201802811,80.85764400000002
9000.0,113.37949264231231,80.85764400000001
10000.0,111.94284,80.857644
