
          ---- Aqueous concentrations vs. grid blocks at specified times ----

   Unit: 
    - Aqueous species: Total concencentrations in mol/L     
    - Component in dry nodes in mol/L medium

VARIABLES =X,        Y,       Z,  P(bar)  ,      Sg,       Sl  ,     T(C)  ,  aH2O,    pH     ,t_tracer   ,
ZONE T= "0.100000E+00 d"  F=POINT
   -200.000   -200.000     0.000  0.3006E+03  0.0000E+00  0.1000E+01 182.615  1.0000  5.6452  0.1277E-02
   -200.000   -125.000     0.000  0.3006E+03  0.0000E+00  0.1000E+01 126.796  1.0000  5.6452  0.5453E-02
   -200.000    -90.440     0.000  0.3006E+03  0.0000E+00  0.1000E+01 101.616  1.0000  5.6452  0.4659E-02
   -200.000    -50.000     0.000  0.3007E+03  0.0000E+00  0.1000E+01  92.717  1.0000  5.6452  0.3656E-02
   -200.000    -37.060     0.000  0.3007E+03  0.0000E+00  0.1000E+01  91.783  1.0000  5.6452  0.3071E-02
   -200.000      0.000     0.000  0.3007E+03  0.0000E+00  0.1000E+01  97.721  1.0000  5.6452  0.3432E-02
   -200.000     21.280     0.000  0.3007E+03  0.0000E+00  0.1000E+01  98.857  1.0000  5.6452  0.4023E-02
   -200.000     50.000     0.000  0.3007E+03  0.0000E+00  0.1000E+01  93.387  1.0000  5.6452  0.3135E-02
   -200.000     66.820     0.000  0.3007E+03  0.0000E+00  0.1000E+01 100.337  1.0000  5.6452  0.4307E-02
   -200.000    100.700     0.000  0.3006E+03  0.0000E+00  0.1000E+01 111.726  1.0000  5.6452  0.5444E-02
   -200.000    125.000     0.000  0.3006E+03  0.0000E+00  0.1000E+01 121.087  1.0000  5.6452  0.5510E-02
   -200.000    171.500     0.000  0.3006E+03  0.0000E+00  0.1000E+01 152.122  1.0000  5.6452  0.4288E-02
   -200.000    200.000     0.000  0.3006E+03  0.0000E+00  0.1000E+01 173.403  1.0000  5.6452  0.2458E-02
   -187.600     21.280     0.000  0.3007E+03  0.0000E+00  0.1000E+01  86.583  1.0000  5.6452  0.1841E-02
   -186.000    -37.060     0.000  0.3007E+03  0.0000E+00  0.1000E+01  84.914  1.0000  5.6452  0.1837E-02
   -183.000    -90.440     0.000  0.3006E+03  0.0000E+00  0.1000E+01  94.755  1.0000  5.6452  0.3752E-02
   -180.400    100.700     0.000  0.3006E+03  0.0000E+00  0.1000E+01 102.973  1.0000  5.6452  0.4264E-02
   -179.100    -63.140     0.000  0.3007E+03  0.0000E+00  0.1000E+01  88.330  1.0000  5.6452  0.2495E-02
   -178.400    -21.660     0.000  0.3007E+03  0.0000E+00  0.1000E+01  82.454  1.0000  5.6452  0.7723E-03
   -177.800     35.260     0.000  0.3007E+03  0.0000E+00  0.1000E+01  85.053  1.0000  5.6452  0.1410E-02
   -177.500     66.820     0.000  0.3007E+03  0.0000E+00  0.1000E+01  89.986  1.0000  5.6452  0.2500E-02
   -175.500      1.732     0.000  0.3007E+03  0.0000E+00  0.1000E+01  81.625  1.0000  5.6452  0.4682E-03
   -173.200   -119.000     0.000  0.3006E+03  0.0000E+00  0.1000E+01 108.511  1.0000  5.6452  0.5122E-02
   -167.000    171.500     0.000  0.3006E+03  0.0000E+00  0.1000E+01 154.257  1.0000  5.6452  0.4026E-02
   -167.000    200.000     0.000  0.3006E+03  0.0000E+00  0.1000E+01 173.888  1.0000  5.6452  0.2356E-02
   -164.700    139.100     0.000  0.3006E+03  0.0000E+00  0.1000E+01 129.693  1.0000  5.6452  0.5060E-02
   -164.300    -49.710     0.000  0.3007E+03  0.0000E+00  0.1000E+01  81.729  1.0000  5.6452  0.4812E-03
   -164.100     47.060     0.000  0.3007E+03  0.0000E+00  0.1000E+01  82.544  1.0000  5.6452  0.6453E-03
   -162.800   -200.000     0.000  0.3006E+03  0.0000E+00  0.1000E+01 174.144  1.0000  5.6452  0.2360E-02
   -162.800   -176.700     0.000  0.3006E+03  0.0000E+00  0.1000E+01 151.239  1.0000  5.6452  0.4347E-02
   -161.300    -21.010     0.000  0.3007E+03  0.0000E+00  0.1000E+01  80.881  1.0000  5.6452  0.4133E-04
   -161.200     21.020     0.000  0.3007E+03  0.0000E+00  0.1000E+01  80.893  1.0000  5.6452  0.5049E-04
   -159.500    -82.340     0.000  0.3006E+03  0.0000E+00  0.1000E+01  86.443  1.0000  5.6452  0.1880E-02
   -157.500   -147.200     0.000  0.3006E+03  0.0000E+00  0.1000E+01 124.819  1.0000  5.6452  0.5286E-02
   -155.400     95.360     0.000  0.3006E+03  0.0000E+00  0.1000E+01  87.340  1.0000  5.6452  0.2102E-02
   -155.000     -0.383     0.000  0.3007E+03  0.0000E+00  0.1000E+01  80.851  1.0000  5.6452  0.2867E-05
   -154.300     68.540     0.000  0.3007E+03  0.0000E+00  0.1000E+01  82.410  1.0000  5.6452  0.6972E-03
   -150.500   -113.200     0.000  0.3006E+03  0.0000E+00  0.1000E+01  92.565  1.0000  5.6452  0.3113E-02
   -150.100    -41.880     0.000  0.3007E+03  0.0000E+00  0.1000E+01  80.878  1.0000  5.6452  0.3724E-04
   -148.400     42.710     0.000  0.3007E+03  0.0000E+00  0.1000E+01  80.875  1.0000  5.6452  0.3119E-04
   -144.600    126.800     0.000  0.3006E+03  0.0000E+00  0.1000E+01  98.803  1.0000  5.6452  0.3851E-02
   -143.700    -68.140     0.000  0.3007E+03  0.0000E+00  0.1000E+01  81.271  1.0000  5.6452  0.2614E-03
   -142.900    -23.060     0.000  0.3007E+03  0.0000E+00  0.1000E+01  80.849  1.0000  5.6452  0.2343E-06
   -141.100     20.750     0.000  0.3007E+03  0.0000E+00  0.1000E+01  80.849  1.0000  5.6452  0.2555E-06
   -139.400     -1.308     0.000  0.3007E+03  0.0000E+00  0.1000E+01  80.848  1.0000  5.6452  0.4596E-08
   -136.500     61.520     0.000  0.3007E+03  0.0000E+00  0.1000E+01  80.873  1.0000  5.6452  0.2938E-04
   -134.600    -95.960     0.000  0.3006E+03  0.0000E+00  0.1000E+01  84.486  1.0000  5.6452  0.1330E-02
   -134.300    -45.670     0.000  0.3007E+03  0.0000E+00  0.1000E+01  80.850  1.0000  5.6452  0.9390E-06
   -133.500     84.490     0.000  0.3006E+03  0.0000E+00  0.1000E+01  81.724  1.0000  5.6452  0.4622E-03
   -129.500     44.110     0.000  0.3007E+03  0.0000E+00  0.1000E+01  80.850  1.0000  5.6452  0.4698E-06
   -128.100    -14.030     0.000  0.3007E+03  0.0000E+00  0.1000E+01  80.848  1.0000  5.6452  0.1220E-09
   -127.800   -139.900     0.000  0.3006E+03  0.0000E+00  0.1000E+01 112.104  1.0000  5.6452  0.4441E-02
   -125.700    110.200     0.000  0.3006E+03  0.0000E+00  0.1000E+01  85.993  1.0000  5.6452  0.1800E-02
