time,temperature
0.0,195.991910950624
200.0,185.74153012321105
400.0,176.88100872975082
600.0,170.04467921555306
800.0,164.68189187259992
1000.0,160.33917571983278
1200.0,156.7257246133062
1400.0,153.65305218498082
1600.0,150.99434787238286
1800.0,148.6609801855904
2000.0,146.5890570191676
2300.0,143.8707218392198
2600.0,141.52074367917726
2900.0,139.45928903694977
3200.0,137.6291581789978
3500.0,135.9880638119352
4000.0,133.5894371807957
4500.0,131.5224013934584
5000.0,129.71356698125
5500.0,128.11085985919948
6000.0,126.67606270237228
7000.0,124.20171579618646
8000.0,122.12901046221812
9000.0,120.35571003591419
10000.0,118.81326
