time,pressure
0.0,30.08219029639,30.08219029639
0.1,30.086135922584997,30.12153887557235
1.0,30.089325875904013,30.161791897580983
10.0,30.094211494706894,30.164520223304333
20.0,30.09590609785394,30.164530617336514
40.0,30.09788349315914,30.16453810887628
60.0,30.099241224874795,30.164536750167272
80.0,30.10033641155364,30.164535113056996
100.0,30.101287777660335,30.164535796459635
200.0,30.10482386543533,30.16453601706291
400.0,30.10929168621319,30.164535999976433
600.0,30.112307468910323,30.16453600000004
800.0,30.114594165761513,30.164536000000005
1000.0,30.116435464950307,30.164536000000005
1500.0,30.119893326971084,30.164536000000002
2000.0,30.122401097468263,30.164536000000002
2500.0,30.12436156451626,30.164536000000005
3000.0,30.12596624620772,30.164536000000002
4000.0,30.1284877329962,30.164536000000002
5000.0,30.13042801230914,30.164536000000002
6000.0,30.131996381813593,30.164536000000002
8000.0,30.134433841237186,30.164536000000002
10000.0,30.136284,30.164536
