time,concentration
0.0,0.0
0.02,1.0098659392413621e-06
0.04,0.0002141799763778773
0.05,0.0008067647038519875
0.06,0.0019268567704715418
0.07,0.003339840562332229
0.08,0.00458572717217818
0.09,0.005304616489824244
0.1,0.005411485561111608
0.11,0.005043674072051322
0.12,0.004416502988748849
0.13,0.003714415423975336
0.14,0.0030531523659911427
0.15,0.002486099946343601
0.16,0.00202478282045543
0.18,0.0013756714337983765
0.2,0.0009789
