0,30.0821881870246
0.1,30.0815059189192
1,30.083867741879
10,30.0867199398838
20,30.0876732361466
40,30.088760251361
60,30.0894959756373
80,30.0900798932504
100,30.0905512768601
200,30.0923705784127
400,30.0945922714676
600,30.0963428623525
800,30.0979071805214
1000,30.0995383812604
1500,30.1030298451641
2000,30.1065037547715
2500,30.1093739077416
3000,30.1113641744124
4000,30.1150219974747
5000,30.117107823325
6000,30.1190992443603
8000,30.1218901217843
10000,30.1242070250343
